geo,_index_
NULL,NULL
Serbia,0.791248414444676
Bulgaria,1.6215099945066658
Greece,1.8055829376380235
Poland,2.034224737107702
Croatia,2.7527376707528926
Estonia,2.7765505977992437
Italy,3.2595562105774727
Cyprus,3.386931154373928
Iceland,3.446737505068533
Slovenia,3.5979225255052896
Sweden,3.604012098368504
Portugal,3.716621257137412
Hungary,3.8061814032352697
Latvia,3.8091095218683506
Denmark,3.8561763163380802
Lithuania,4.084656964806484
Ireland,4.401651300743282
Slovakia,4.410081291205339
Spain,4.481154935780358
Luxembourg,4.48480341979641
Czechia,4.699403155071389
Norway,4.864958881104731
Finland,4.870162487747233
Belgium,4.873118949818944
Malta,4.878863581471615
France,5.064471359136313
Germany,5.088444532406797
Netherlands,5.57890214425386
Austria,5.78083452425742
Switzerland,6.504612751495188
